Block Name,Cell ID,vtkOriginalCellIds,Cell Type,Ma,T,U_0,U_1,U_2,U_Magnitude,p
internalMesh,3114,3114,12,1.51167,1.92415,2.09581,0.0674041,0,2.09689,3.90045
internalMesh,3115,3115,12,1.51757,1.91954,2.10131,0.0722445,0,2.10255,3.86698
internalMesh,3116,3116,12,1.52347,1.91482,2.10673,0.0766762,0,2.10812,3.83392
internalMesh,3117,3117,12,1.52915,1.91044,2.11203,0.0806701,0,2.11357,3.80144
internalMesh,3118,3118,12,1.53479,1.90593,2.11718,0.0841925,0,2.11885,3.76976
internalMesh,3119,3119,12,1.54011,1.90189,2.12215,0.0872022,0,2.12394,3.73907
internalMesh,3120,3120,12,1.54531,1.89772,2.12689,0.0896506,0,2.12878,3.70967
internalMesh,3121,3121,12,1.55006,1.89417,2.13136,0.0914812,0,2.13332,3.68182
internalMesh,3122,3122,12,1.55459,1.89052,2.1355,0.0926157,0,2.13751,3.65586
internalMesh,3123,3123,12,1.55856,1.88761,2.13929,0.0930131,0,2.14131,3.6323
internalMesh,3124,3124,12,1.56227,1.88463,2.14271,0.0926651,0,2.14471,3.61069
internalMesh,3125,3125,12,1.56527,1.88246,2.14564,0.0913957,0,2.14759,3.59189
internalMesh,3126,3126,12,1.56775,1.88049,2.14802,0.0891226,0,2.14987,3.57661
internalMesh,3127,3127,12,1.56942,1.87935,2.14979,0.0857987,0,2.1515,3.56493
internalMesh,3128,3128,12,1.57042,1.87861,2.15091,0.0812785,0,2.15245,3.55741
internalMesh,3129,3129,12,1.5706,1.87866,2.1514,0.0757799,0,2.15273,3.55411
internalMesh,3130,3130,12,1.57037,1.87899,2.15147,0.0694425,0,2.15259,3.5545
internalMesh,3131,3131,12,1.56971,1.87967,2.15118,0.0623851,0,2.15208,3.55641
internalMesh,3132,3132,12,1.56834,1.8809,2.15024,0.0540307,0,2.15092,3.56149
internalMesh,3133,3133,12,1.5658,1.88338,2.14839,0.0442441,0,2.14885,3.5721
internalMesh,3134,3134,12,1.56288,1.88563,2.14586,0.033227,0,2.14612,3.58842
internalMesh,3135,3135,12,1.55932,1.88911,2.14309,0.0216951,0,2.1432,3.60714
internalMesh,3136,3136,12,1.55639,1.89132,2.14041,0.0100622,0,2.14043,3.62609
internalMesh,3137,3137,12,1.55341,1.89434,2.13803,-0.00132053,0,2.13803,3.64366
internalMesh,3138,3138,12,1.55144,1.89586,2.13613,-0.0121884,0,2.13616,3.6587
internalMesh,3139,3139,12,1.54979,1.89769,2.13481,-0.0223708,0,2.13493,3.67044
internalMesh,3140,3140,12,1.54913,1.89832,2.13414,-0.0317667,0,2.13438,3.67853
internalMesh,3141,3141,12,1.54905,1.89878,2.13414,-0.0403383,0,2.13452,3.68258
internalMesh,3142,3142,12,1.54959,1.89848,2.13456,-0.0483897,0,2.13511,3.68273
internalMesh,3143,3143,12,1.55032,1.89817,2.1352,-0.0561226,0,2.13594,3.68217
